TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	sausage	other vegetables	packaged fruit/vegetables	Pepsi	red/blush wine																											
2	brown bread	meat spreads	bottled water	fruit/vegetable juice																												
3	pip fruit	whipped/sour cream	hard cheese	bottled water	fruit/vegetable juice																											
4	red/blush wine	specialty bar																														
5	tropical fruit	whole milk	rolls/buns	semi-finished bread	margarine	fruit/vegetable juice	long life bakery product	newspapers																								
6	tropical fruit	yogurt	sliced cheese	brown bread	margarine	bottled water	soda	candy	newspapers																							
7	tropical fruit																															
8	pip fruit	berries	other vegetables	whole milk	yogurt	domestic eggs	rolls/buns	pastry	margarine																							
9	Canned Pepsi																															
10	Halawa	whole milk	yogurt	frozen vegetables	coffee	bottled water	Pepsi																									
11	whole milk	roll products 	semi-finished bread	margarine	pet care	instant coffee	soda	Pepsi	salty snack	popcorn	long life bakery product																					
12	root vegetables	butter	pot plants																													
13	specialty bar																															
14	tropical fruit	yogurt	bottled water	soda	specialty bar																											
15	sausage																															
16	Halawa	sausage	onions	other vegetables	curd	dessert	condensed milk	soft cheese	rolls/buns	pastry	potato products	soda	rum	specialty chocolate	shopping bags																	
17	soda																															
18	chicken	other vegetables	frozen vegetables	Canned Pepsi	shopping bags																											
19	Martadella	processed cheese	Canned Pepsi																													
20	tropical fruit	other vegetables	rolls/buns	white bread	Pepsi	pot plants																										
21	yogurt	bottled water	Powedered honny																													
22	Canned Pepsi	red/blush wine																														
23	spread cheese	fruit/vegetable juice																														
24	soda	Canned Pepsi	Ginger powder (appetizer)	hygiene articles	napkins	newspapers																										
25	soda																															
26	sausage	Frozen beef slicesburger meat	cream	spread cheese	canned fish	napkins																										
27	pip fruit																															
28	Halawa	rolls/buns																														
29	napkins																															
30	yogurt	long life bakery product	photo/film	pot plants																												
31	sausage																															
32	long life bakery product																															
33	whole milk	dessert	rolls/buns	roll products 	flour	vinegar	sugar	soups	fruit/vegetable juice	chocolate																						
34	other vegetables	whole milk	dessert	chewing gum																												
