TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	berries	root vegetables	whole milk	butter	rolls/buns	salty snack																										
2	citrus fruit	pip fruit	berries	house keeping products																												
3	misc. beverages	fruit/vegetable juice																														
4	whipped/sour cream	beverages	Ginger powder (appetizer)																													
5	Pepsi																															
6	Ginger powder	house keeping products	shopping bags																													
7	sausage	yogurt	Powedered honny	red/blush wine	shopping bags																											
8	citrus fruit	pip fruit	whole milk	cream cheese 	sweet spreads	long life bakery product	cake bar	napkins																								
9	chicken	other vegetables																														
10	Halawa	rolls/buns	Canned Pepsi																													
11	chocolate	pot plants	shopping bags																													
12	citrus fruit	pip fruit	grapes	other vegetables	dessert	butter milk	yogurt	domestic eggs	flour	oil	sugar	ketchup	detergent	dish cleaner																		
13	citrus fruit	pickled vegetables	dog food	soda	salty snack	waffles	candy	dish cleaner	newspapers																							
14	frozen vegetables																															
15	newspapers																															
16	sausage	beverages	brown bread	salt	soda	salty snack	popcorn	dental care	make up remover																							
17	citrus fruit	yogurt	rolls/buns	pastry																												
18	Martadella	soda																														
19	candles																															
20	sausage	other vegetables																														
21	pip fruit	sliced cheese	pastry	Powedered honny	light bulbs	newspapers																										
22	Halawa	sausage	whole milk	rolls/buns	margarine																											
23	other vegetables	bottled water	Pepsi	waffles																												
24	whole milk	sliced cheese	domestic eggs	artif. sweetener	bottled water	soda	shopping bags																									
25	brown bread	soda	salty snack	shopping bags																												
26	ice cream	salty snack	waffles																													
27	Halawa	sausage	chicken	citrus fruit	root vegetables	onions	other vegetables	butter	processed cheese	spread cheese	salad dressing	frozen vegetables	frozen fish	rolls/buns	flour	artif. sweetener	soda	candy	cleaner													
28	root vegetables	whipped/sour cream	frozen vegetables	domestic eggs	rolls/buns																											
29	berries	other vegetables	yogurt																													
30	chocolate																															
31	Frozen beef slicesburger meat	tropical fruit	onions	canned vegetables	soda	candy	shopping bags																									
32	Martadella	other vegetables	whole milk	cereals																												
33	napkins																															
34	frozen vegetables																															
35	Martadella	root vegetables	other vegetables	whole milk	whipped/sour cream	domestic eggs	pastry	baking powder																								
36	other vegetables	whole milk	frozen meals	pastry	fruit/vegetable juice	long life bakery product	shopping bags																									
37	butter	curd	dessert	cream cheese 	Canned Pepsi	candy	shopping bags																									
38	pip fruit	sliced cheese	rolls/buns	Canned Pepsi	shopping bags																											
39	beef																															
40	chocolate																															
41	citrus fruit	butter	yogurt	cream cheese 	rolls/buns	bottled water	soda	newspapers																								
42	whole milk	butter	yogurt	rice	abrasive cleaner																											
43	Canned Pepsi	newspapers																														
44	sausage	Powedered honny	napkins																													
45	Pepsi																															
46	finished products	beef	citrus fruit	yogurt	frozen potato products	pastry	soups	coffee	candy																							
47	Canned Pepsi	specialty chocolate	candy	shopping bags																												
48	Martadella	root vegetables	shopping bags																													
49	rolls/buns	margarine																														
50	rolls/buns	Canned Pepsi																														
51	salty snack																															
52	sugar																															
53	other vegetables	whole milk	curd	spread cheese	curd cheese	rolls/buns	brown bread	Instant food products	coffee																							
54	citrus fruit	other vegetables	UHT-milk	rolls/buns	flour																											
55	Halawa	Frozen beef slices	tropical fruit	pip fruit	other vegetables	frozen vegetables	domestic eggs	zwieback	margarine	soda																						
56	Canned Pepsi																															
57	tropical fruit	onions	spread cheese	coffee	Canned Pepsi	Ginger powder (appetizer)	red/blush wine	dental care	light bulbs	newspapers																						
58	Industrial Fruit Juice																															
59	rolls/buns	red/blush wine																														
60	Canned  honey																															
61	pip fruit	ice cream	bottled water	soda	fruit/vegetable juice	Pepsi																										
62	sausage	citrus fruit	root vegetables																													
63	bottled water	Canned Pepsi	candy																													
64	other vegetables	chocolate																														
65	onions	whole milk	Canned Pepsi	hygiene articles	shopping bags																											
66	chicken	citrus fruit	root vegetables	other vegetables	whole milk	yogurt	hard cheese	processed cheese	mayonnaise	frozen vegetables	pastry	roll products 	rice	margarine	sugar	pickled vegetables	bottled water	fruit/vegetable juice	candy	skin care	napkins											
67	brown bread																															
68	other vegetables	whole milk	domestic eggs	margarine	bottled water	fruit/vegetable juice	Pepsi																									
69	whole milk	cream cheese 	soda	fruit/vegetable juice																												
70	yogurt																															
71	whole milk	UHT-milk	frozen potato products	baking powder	pet care	popcorn	candy																									
72	bottled water	fruit/vegetable juice																														
73	citrus fruit	tropical fruit	herbs	other vegetables	whole milk	whipped/sour cream	bottled water																									
74	Martadella	root vegetables	whole milk	curd	whipped/sour cream	rolls/buns	white bread	canned vegetables	soda	cleaner																						
75	Frozen beef slices	onions	other vegetables	brown bread	margarine																											
76	seasonal products																															
77	other vegetables																															
78	sausage	yogurt	margarine	salty snack																												
79	fish	root vegetables	rolls/buns	roll products 	napkins																											
80	sausage	citrus fruit	tropical fruit	pip fruit	other vegetables	whole milk	butter	processed cheese	spread cheese	pastry	canned fish	bottled water	red/blush wine	salty snack	long life bakery product	chocolate	female sanitary products	Homemade juice	hygiene articles	napkins	house keeping products											
81	Frozen beef slices	other vegetables	curd	whipped/sour cream	soft cheese	rolls/buns	long life bakery product																									
82	sausage	domestic eggs																														
83	other vegetables	whole milk	curd	domestic eggs	hygiene articles																											
84	ice cream																															
85	condensed milk	pastry	chocolate																													
86	misc. beverages																															
87	chicken	pip fruit	UHT-milk	bottled water	Pepsi	shopping bags																										
88	root vegetables	whole milk	yogurt	frozen potato products																												
89	Martadella	citrus fruit	whole milk	curd	yogurt	Pepsi	dishes																									
90	Halawa	Martadella	yogurt	soft cheese	sugar	bottled water	soda	fruit/vegetable juice	shopping bags																							
91	grapes	other vegetables	butter	newspapers																												
92	root vegetables																															
93	whole milk	beverages	Pepsi																													
94	finished products	pip fruit	yogurt	chocolate																												
95	Canned Pepsi																															
96	salty snack																															
97	coffee																															
98	pip fruit																															
99	beef	tropical fruit	whole milk	margarine	soda	candles																										
100	tropical fruit	yogurt	frozen dessert	domestic eggs	tea																											
101	Frozen beef slicesburger meat	whole milk	mayonnaise	pastry	Instant food products																											
102	beef	other vegetables	packaged fruit/vegetables	dog food																												
103	organic sausage	tropical fruit	packaged fruit/vegetables	whole milk	curd	yogurt	soft cheese	curd cheese	frozen vegetables	domestic eggs	rolls/buns	pastry	margarine	bottled water	cooking chocolate	hygiene articles	shopping bags															
104	pip fruit																															
105	Frozen beef slicesburger meat	citrus fruit	whole milk	butter	yogurt	cat food	hygiene articles	shopping bags																								
106	frozen fish	Ginger powder (appetizer)																														
107	Canned Pepsi																															
108	Martadella	other vegetables	butter milk	yogurt	pasta	soda	waffles	photo/film																								
109	salt	salty snack																														
110	whole milk																															
111	other vegetables																															
112	processed cheese	brown bread																														
113	sausage	chicken	Martadella	citrus fruit	berries	root vegetables	packaged fruit/vegetables	curd	yogurt	whipped/sour cream	frozen vegetables																					
114	whole milk	yogurt	frozen meals	pasta	sauces	canned fish	cat food	pet care	soda																							
115	nuts/prunes	Ginger powder																														
116	waffles	detergent																														
117	soda																															
118	sausage	curd																														
119	Pepsi																															
120	ice cream	long life bakery product	specialty chocolate	specialty bar																												
121	Frozen beef slicesburger meat	frozen meals	red/blush wine																													
122	whole milk	bottled water	rum	chewing gum																												
123	sausage	beef	Frozen beef slicesburger meat	pip fruit	root vegetables	herbs	other vegetables	yogurt	mayonnaise	rolls/buns	dishes																					
124	sausage	turkey	tropical fruit	grapes	other vegetables	whole milk	curd	yogurt	semi-finished bread	spices	baking powder	cat food	bottled water	long life bakery product	chocolate																	
125	citrus fruit	tropical fruit	pip fruit	condensed milk	frozen meals	meat spreads	canned fish	coffee	Canned Pepsi	salty snack	cling film/bags	kitchen towels	shopping bags																			
126	soda																															
127	rolls/buns																															
128	Halawa	onions	candy	detergent																												
129	Industrial Fruit Juice																															
130	whole milk	dessert	yogurt	margarine	newspapers																											
131	Martadella																															
132	sausage	rolls/buns	sugar	bottled water	soda	fruit/vegetable juice	Powedered honny	male cosmetics																								
133	Halawa	sausage	berries	whole milk	yogurt	brown bread	pastry	margarine	fruit/vegetable juice	waffles	decalcifier	napkins																				
134	pastry																															
135	Canned Pepsi																															
136	Halawa	sausage	meat	pip fruit	yogurt	rolls/buns	bottled water	soda	newspapers																							
137	other vegetables	Pepsi	Canned Pepsi																													
138	whole milk	beverages	pastry	soda																												
139	beef	tropical fruit	pip fruit	root vegetables	other vegetables	whole milk	yogurt	whipped/sour cream	mayonnaise																							
140	chicken	Martadella	root vegetables	onions	packaged fruit/vegetables	butter	hard cheese	salt	bottled water	Pepsi																						
141	bottled water																															
142	other vegetables	whole milk	yogurt	rolls/buns	newspapers																											
