TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	citrus fruit	pip fruit																														
2	Pepsi	Ginger powder	rum																													
3	curd	UHT-milk	artif. sweetener	dental care																												
4	citrus fruit	root vegetables	other vegetables	whole milk																												
5	root vegetables	cream cheese 	spread cheese	frozen dessert	white bread	bottled water	soda	misc. beverages	fruit/vegetable juice	Pepsi																						
6	salt	detergent																														
7	finished products	cat food	shopping bags																													
8	Halawa	butter milk	rolls/buns	coffee																												
9	tropical fruit																															
10	tropical fruit																															
11	sausage																															
12	whole milk	white bread	pet care	bottled water	softener																											
13	sausage	brown bread	salty snack	chocolate																												
14	beef	citrus fruit	root vegetables	other vegetables	rolls/buns	sugar	fruit/vegetable juice																									
15	bottled water	soda																														
16	chicken	frozen vegetables	frozen dessert	bottled water	soda																											
17	packaged fruit/vegetables	dessert	mayonnaise	oil	soda	waffles	chocolate	flower (seeds)	shopping bags																							
18	rolls/buns	soda	fruit/vegetable juice	Canned Pepsi	Powedered honny	long life bakery product	shopping bags																									
19	root vegetables	other vegetables	whole milk	rolls/buns	pastry	bottled water	soda	waffles	cake bar																							
20	other vegetables	yogurt	beverages	UHT-milk	cream cheese 	long life bakery product	hygiene articles	napkins																								
21	bottled water	misc. beverages	Ginger powder	chewing gum																												
22	dessert	frozen meals	frozen dessert	white bread	brown bread	soda	chocolate																									
23	yogurt	shopping bags																														
24	tropical fruit	white bread	spices	Instant food products																												
25	Halawa	meat	pip fruit	ice cream	brown bread	pickled vegetables	jam	canned fish	Ginger powder	waffles	newspapers																					
26	brown bread	Canned Pepsi	detergent	softener																												
27	pip fruit	other vegetables	margarine	photo/film																												
28	whipped/sour cream																															
29	sausage	Frozen beef slices	pip fruit	whole milk	curd	butter milk	yogurt	sliced cheese																								
30	berries	whipped/sour cream	cake bar																													
31	sweet spreads	waffles																														
32	pip fruit	root vegetables	whole milk	rolls/buns	pastry	coffee	chocolate																									
33	hard cheese	rolls/buns	sugar	candy																												
34	tropical fruit	specialty cheese	bottled water																													
35	yogurt	fruit/vegetable juice	dishes																													
36	sausage	fish	UHT-milk																													
37	frozen fish																															
38	beef	whole milk	frozen vegetables	sweet spreads	candy	dish cleaner	dental care	photo/film																								
39	sausage	white bread																														
40	soda																															
41	soups	soda	shopping bags																													
42	butter	sliced cheese	frozen meals	rolls/buns	brown bread	canned fruit	fruit/vegetable juice	long life bakery product																								
43	sausage	pip fruit	UHT-milk	soups	sauces	cat food	newspapers																									
44	sausage																															
45	chocolate																															
46	Martadella	other vegetables	whipped/sour cream	frozen vegetables	cereals	cat food	fruit/vegetable juice	cake bar	specialty chocolate	specialty bar	napkins	newspapers	shopping bags																			
47	Martadella	onions	other vegetables	salty snack	flower (seeds)																											
48	finished products	pip fruit	other vegetables	domestic eggs	margarine	Pepsi	newspapers																									
49	sausage	UHT-milk	brown bread	oil	Canned Pepsi	Industrial Fruit Juice	shopping bags																									
50	sausage	rolls/buns	soda																													
51	Halawa	sausage																														
52	whole milk	rolls/buns	chewing gum																													
53	sausage	pip fruit	whole milk	sliced cheese	frozen vegetables	frozen meals	napkins	shopping bags																								
54	Halawa	meat	Martadella	grapes	root vegetables	whipped/sour cream	domestic eggs																									
55	citrus fruit	tropical fruit	grapes	whole milk	brown bread	pastry																										
56	tropical fruit	pip fruit	grapes	root vegetables	herbs	yogurt	baking powder	seasonal products	pot plants	shopping bags																						
57	frozen dessert																															
58	meat	frozen vegetables	soda																													
59	beef	citrus fruit	root vegetables	bottled water	soda	fruit/vegetable juice	pot plants																									
60	soda																															
61	sausage	pickled vegetables	soda	skin care	shopping bags																											
