TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	semi-finished bread																															
2	whole milk	sugar	cling film/bags																													
3	whole milk	curd	semi-finished bread																													
4	sausage	rolls/buns																														
5	dessert	fruit/vegetable juice	nut snack	specialty bar																												
6	whole milk	curd	ice cream	Instant food products	canned fish	newspapers																										
7	Martadella	whole milk	shopping bags																													
8	Halawa	sausage	pastry																													
9	fruit/vegetable juice																															
10	sausage	other vegetables	whipped/sour cream	ice cream	domestic eggs	rolls/buns	coffee	bottled water	newspapers																							
11	rolls/buns	soda	Canned Pepsi	waffles	shopping bags																											
12	whole milk	whipped/sour cream	semi-finished bread	margarine																												
13	other vegetables	fruit/vegetable juice	salty snack	napkins																												
14	chicken	pip fruit	other vegetables	butter	soft cheese	frozen vegetables	long life bakery product	candles																								
15	citrus fruit	grapes																														
16	tropical fruit	root vegetables	whole milk	curd	yogurt	frozen vegetables	domestic eggs																									
17	berries	yogurt	misc. beverages	Canned Pepsi	Ginger powder	cake bar																										
18	yogurt	specialty chocolate	seasonal products																													
19	Halawa																															
20	tropical fruit	yogurt	rolls/buns	skin care	shopping bags																											
21	brown bread																															
22	sausage	Martadella	citrus fruit	bottled water	soda	misc. beverages	Canned Pepsi	red/blush wine																								
23	frozen meals	frozen fish	chocolate																													
24	soda																															
25	butter milk	ice cream	coffee	bottled water	fruit/vegetable juice	hygiene articles	shopping bags																									
26	curd	frozen meals	pastry	long life bakery product	waffles	napkins																										
27	oil																															
28	whole milk	rolls/buns																														
29	beef	root vegetables	curd	dessert	waffles	dish cleaner																										
30	Halawa	whole milk	yogurt	tidbits	frozen vegetables	rolls/buns	detergent																									
31	sausage	citrus fruit	tropical fruit	pip fruit	grapes	bottled water	soda	Pepsi	cake bar																							
32	soda	specialty bar																														
33	packaged fruit/vegetables	pickled vegetables																														
34	Halawa																															
35	pip fruit	sugar																														
36	hard cheese	honey	candy																													
37	yogurt	rolls/buns																														
38	Martadella	white bread	pastry	shopping bags																												
39	citrus fruit	frozen potato products																														
40	Frozen beef slices	root vegetables	butter	bottled water	Powedered honny																											
41	sausage	sliced cheese	rolls/buns	soda	Canned Pepsi	shopping bags																										
42	whole milk																															
43	turkey	other vegetables	whipped/sour cream	canned vegetables	instant coffee	bottled water	red/blush wine																									
44	Martadella	tropical fruit																														
45	butter milk																															
46	Canned Pepsi																															
47	beef																															
48	Ginger powder	chocolate marshmallow																														
49	Ginger powder (appetizer)																															
50	rolls/buns	pastry	soda																													
51	Pepsi																															
52	Pepsi																															
53	brown bread																															
54	Halawa	tropical fruit	other vegetables	whole milk	frozen meals	rolls/buns	detergent	napkins	newspapers																							
55	whole milk	pastry																														
56	other vegetables	whole milk	brown bread	cat food	chewing gum	napkins																										
57	grapes	root vegetables	other vegetables	roll products 	pasta	oil	margarine	coffee	bottled water	detergent																						
58	processed cheese																															
59	root vegetables	other vegetables	butter	hard cheese	margarine	mustard	pickled vegetables																									
60	domestic eggs	rolls/buns																														
61	Canned Pepsi																															
62	sausage	other vegetables																														
63	beef	root vegetables	herbs	packaged fruit/vegetables	whipped/sour cream	cream cheese 	vinegar	oil	margarine	soups	pickled vegetables	meat spreads	canned fish	fruit/vegetable juice	candles																	
64	Frozen beef slices	whole milk	rolls/buns																													
65	beef	frozen fish	rolls/buns	margarine																												
66	rolls/buns	soda	fruit/vegetable juice																													
67	Martadella	root vegetables	whole milk	sliced cheese	frozen fish	domestic eggs	cake bar	chocolate marshmallow	candy																							
68	cat food	misc. beverages	female sanitary products																													
69	rolls/buns	Pepsi																														
70	chicken																															
71	Halawa	Frozen beef slicesburger meat	root vegetables	other vegetables	whole milk	curd	sliced cheese	processed cheese	frozen meals	ice cream	domestic eggs	bottled water	fruit/vegetable juice	Pepsi																		
72	pastry	waffles	shopping bags																													
73	citrus fruit	pip fruit	UHT-milk	pet care	coffee	Pepsi																										
74	shopping bags																															
75	Halawa	sausage	tropical fruit	root vegetables	whole milk	pastry																										
76	beef	curd	yogurt	whipped/sour cream	frozen meals	brown bread	canned fish	coffee	candy	cling film/bags																						
77	frozen vegetables																															
78	tropical fruit	pip fruit	root vegetables	Ginger powder	detergent	dishes	newspapers																									
79	chocolate																															
80	soda	specialty chocolate	shopping bags																													
81	root vegetables	whole milk	curd																													
82	chicken	tropical fruit	pip fruit	other vegetables	yogurt	soft cheese	domestic eggs	roll products 	fruit/vegetable juice	dish cleaner																						
83	rolls/buns	coffee	bottled water																													
84	specialty bar																															
85	soda																															
86	sausage	citrus fruit	tropical fruit	root vegetables	butter milk	brown bread	mustard	popcorn	shopping bags																							
87	tropical fruit	frozen vegetables																														
88	soda																															
89	Canned Pepsi																															
90	Pepsi																															
91	ice cream	bottled water	soda																													
92	sausage	margarine	newspapers																													
93	pastry	sugar	coffee	Ginger powder (appetizer)																												
94	meat	root vegetables	whole milk	newspapers																												
95	citrus fruit	other vegetables	whole milk	butter	pastry	oil	bottled water	Pepsi	detergent																							
96	other vegetables	rolls/buns	bottled water	skin care																												
97	Halawa	tropical fruit																														
98	pastry	soda	waffles																													
99	Martadella	whole milk	margarine																													
100	sausage	other vegetables	rolls/buns																													
101	Halawa	meat	citrus fruit	pip fruit	other vegetables	whole milk	yogurt	sliced cheese	Canned Pepsi	house keeping products																						
102	Canned Pepsi																															
103	beverages	processed cheese	coffee																													
104	soda	chocolate																														
105	other vegetables	butter milk	bottled water	Pepsi																												
106	other vegetables	yogurt	whipped/sour cream	mayonnaise	domestic eggs	canned fruit	pet care	misc. beverages	Canned  honey																							
107	newspapers																															
108	Frozen beef slices	pip fruit	root vegetables	other vegetables	whole milk	whipped/sour cream	hard cheese	domestic eggs	margarine																							
109	beef	ice cream																														
110	Pepsi	chocolate	specialty bar																													
111	root vegetables	whole milk	butter	yogurt	whipped/sour cream	soft cheese	cream cheese 	domestic eggs	brown bread	jam	misc. beverages	fruit/vegetable juice	napkins	pot plants																		
112	whole milk	cat food	bottled water	napkins																												
113	white bread	flour	fruit/vegetable juice	hygiene articles																												
114	pip fruit	berries	root vegetables	yogurt	soft cheese	hard cheese	frozen meals	frozen fish	frozen dessert	white bread	pastry	pasta	cereals	soda	long life bakery product	cake bar	detergent															
115	rolls/buns	pickled vegetables	chewing gum	specialty chocolate																												
116	whole milk	Pepsi																														
117	Canned Pepsi																															
118	citrus fruit	tropical fruit	brown bread	sauces	soda	napkins	shopping bags																									
119	yogurt	chocolate																														
120	whole milk	butter	yogurt	frozen meals	rolls/buns	zwieback	margarine	pickled vegetables	fruit/vegetable juice	Pepsi																						
121	whole milk	dessert	ice cream	misc. beverages	Canned Pepsi	cake bar																										
122	bottled water	fruit/vegetable juice																														
123	pip fruit	butter milk	cream cheese 	rolls/buns																												
124	frozen meals																															
125	chicken	soda	Ginger powder (appetizer)	newspapers	shopping bags																											
126	citrus fruit	tropical fruit	root vegetables	yogurt	canned vegetables	bottled water	soda	softener																								
127	sausage	meat	chicken	pip fruit	whole milk	dessert	whipped/sour cream	processed cheese	domestic eggs	rolls/buns	white bread	pickled vegetables	soda	fruit/vegetable juice	salty snack	long life bakery product	waffles	pot plants														
128	whole milk	yogurt	white bread	newspapers																												
129	pip fruit	bottled water	candy																													
130	whole milk	cream cheese 	coffee																													
131	citrus fruit	tropical fruit	pip fruit	onions	other vegetables	beverages	processed cheese																									
132	Frozen beef slicesburger meat	hard cheese	frozen meals	pasta	dog food	salty snack	shopping bags																									
133	long life bakery product																															
134	shopping bags																															
135	citrus fruit	tropical fruit	pip fruit	root vegetables	onions	other vegetables	whole milk	yogurt	rolls/buns	brown bread	soda	fruit/vegetable juice																				
136	tropical fruit	pip fruit	grapes																													
137	turkey	root vegetables	other vegetables	curd	Pepsi	specialty chocolate																										
138	yogurt																															
139	Canned Pepsi																															
140	curd	bottled water	photo/film																													
141	beef	citrus fruit	other vegetables	whole milk	domestic eggs	rolls/buns	brown bread	coffee	soda	salty snack	shopping bags																					
142	margarine	misc. beverages	Pepsi																													
143	soda	Canned Pepsi	shopping bags																													
144	citrus fruit	pip fruit	whole milk	sliced cheese	salty snack																											
145	chicken	citrus fruit	other vegetables	butter	yogurt	frozen dessert	domestic eggs	rolls/buns	rum	cling film/bags																						
146	pip fruit	yogurt	brown bread																													
147	sausage	tropical fruit	berries	whole milk	butter	dessert	pastry	soda	fruit/vegetable juice	long life bakery product	chewing gum	hygiene articles																				
148	Halawa	tropical fruit	pip fruit	sliced cheese	mayonnaise	domestic eggs	rolls/buns	fruit/vegetable juice	shopping bags																							
149	whole milk	bottled water	Pepsi	newspapers																												
150	Martadella	margarine	candy																													
151	bottled water	soda	chocolate	shopping bags																												
152	Martadella	other vegetables	yogurt	white bread	Pepsi	napkins	shopping bags																									
153	fruit/vegetable juice																															
154	Martadella	root vegetables	bottled water	soda																												
155	pip fruit	sweet spreads																														
156	other vegetables	curd	margarine																													
157	liver loaf	chicken	turkey	berries	packaged fruit/vegetables	whole milk	yogurt	cream cheese 	rolls/buns	pastry	bottled water	soda	bathroom cleaner																			
158	citrus fruit	whole milk	fruit/vegetable juice	Powedered honny	chocolate																											
159	sausage	citrus fruit	tropical fruit	other vegetables	curd	pastry	soda	chocolate	hygiene articles																							
160	Pepsi	shopping bags																														
161	pip fruit	condensed milk	Pepsi	red/blush wine	chocolate	shopping bags																										
162	onions	butter	whipped/sour cream	hard cheese	frozen vegetables	pasta	specialty fat	syrup	candy	napkins	cling film/bags																					
163	whole milk	coffee																														
164	whole milk	butter	yogurt	rolls/buns																												
165	chewing gum	napkins	dishes																													
166	brown bread	seasonal products																														
167	tropical fruit	Pepsi																														
168	salty snack																															
169	Halawa	beef	Frozen beef slicesburger meat	grapes	root vegetables	whole milk	butter	frozen dessert	potato products	bottled water	Pepsi																					
170	citrus fruit	tropical fruit	pip fruit	root vegetables	other vegetables	chocolate	candy	shopping bags																								
171	other vegetables																															
172	Martadella	beef	other vegetables	yogurt	shopping bags																											
173	Martadella	beverages	flour	margarine	Pepsi																											
174	whole milk																															
175	yogurt	frozen dessert																														
176	Frozen beef slicesburger meat	root vegetables	other vegetables	whole milk	rolls/buns																											
177	sausage	yogurt	fruit/vegetable juice	shopping bags																												
178	other vegetables	napkins																														
179	other vegetables	butter																														
180	tropical fruit	grapes	other vegetables	curd	beverages	pastry	nut snack																									
181	bottled water	soda	misc. beverages	Pepsi																												
182	Halawa	frozen dessert	rolls/buns																													
183	tropical fruit	whole milk	butter	bottled water	hygiene articles	napkins																										
184	sausage	soda	Pepsi																													
185	sausage	beef	pip fruit	whole milk	cream cheese 	white bread	brown bread	seasonal products	hygiene articles																							
186	seasonal products																															
187	pip fruit	other vegetables	frozen vegetables	canned vegetables																												
188	frozen vegetables																															
189	citrus fruit																															
190	whole milk	pastry																														
191	root vegetables	butter	margarine																													
192	Canned Pepsi																															
193	curd	whipped/sour cream	flour	baking powder	newspapers																											
194	yogurt	frozen meals	soda																													
195	bottled water	soda																														
196	bottled water	candy																														
197	yogurt	canned vegetables	pot plants																													
198	tropical fruit	canned vegetables	Pepsi	specialty chocolate																												
199	tropical fruit	rolls/buns	bottled water																													
200	Halawa	sausage	hard cheese	soda	nut snack	shopping bags																										
201	tropical fruit	ice cream	frozen dessert	candy																												
202	tropical fruit	yogurt	rolls/buns																													
203	whole milk																															
204	UHT-milk	brown bread	mustard	coffee	soda	dish cleaner																										
205	citrus fruit	tropical fruit	other vegetables	butter milk	yogurt	pastry	waffles	candy	dental care																							
206	chicken	brown bread	bottled water	newspapers																												
207	turkey	seasonal products																														
208	sausage	chicken	Martadella	other vegetables	whole milk	butter	yogurt	margarine	fruit/vegetable juice	Pepsi																						
209	citrus fruit	onions	UHT-milk	brown bread	pastry	bottled water	fruit/vegetable juice																									
210	sausage	Frozen beef slices	other vegetables	whole milk	curd	cream cheese 	processed cheese	frozen potato products	pastry																							
211	Frozen beef slices	root vegetables	onions	herbs	cream cheese 	zwieback	pot plants																									
212	pastry	soda	specialty bar																													
213	whole milk	yogurt	frozen meals	sugar	coffee	bottled water	fruit/vegetable juice	Pepsi	salty snack																							
214	sausage	soda																														
215	whole milk	margarine	soda	napkins	photo/film																											
216	meat	other vegetables																														
217	beef	other vegetables	canned fish																													
218	whole milk	butter	brown bread	pastry	sweet spreads	soda	newspapers																									
219	sausage	Frozen beef slicesburger meat	tropical fruit	root vegetables	whole milk	UHT-milk	domestic eggs	rolls/buns	semi-finished bread	margarine	pickled vegetables	soda	fruit/vegetable juice																			
220	whole milk	ice cream	pastry	coffee	shopping bags																											
221	dessert	misc. beverages	fruit/vegetable juice	popcorn	shopping bags																											
222	onions																															
223	citrus fruit	tropical fruit	pip fruit	shopping bags																												
224	sausage	citrus fruit	tropical fruit	pip fruit	flour	baking powder																										
225	citrus fruit	root vegetables	packaged fruit/vegetables	yogurt	sliced cheese	rolls/buns	white bread	brown bread	zwieback																							
226	yogurt	frozen fish	rolls/buns																													
227	berries	yogurt																														
228	root vegetables	whole milk	long life bakery product	cling film/bags																												
229	citrus fruit	pip fruit	root vegetables	UHT-milk	coffee	candles																										
230	beef	Frozen beef slicesburger meat	root vegetables	other vegetables	butter	curd	dessert	yogurt	cream cheese 	frozen meals	pastry	potato products	Instant food products	soda	napkins	house keeping products	newspapers															
231	dessert	Canned Pepsi																														
232	chewing gum																															
