TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	butter																															
2	Halawa	whole milk	UHT-milk	hard cheese	mayonnaise	rolls/buns	brown bread	margarine	newspapers																							
3	pip fruit	chewing gum																														
4	rolls/buns	pastry	napkins	newspapers																												
5	waffles																															
6	whole milk	brown bread	chocolate	house keeping products	newspapers																											
7	Martadella	tropical fruit	hard cheese	margarine	soda	Pepsi	napkins																									
8	fruit/vegetable juice	long life bakery product																														
9	hygiene articles																															
10	brown bread	bottled water																														
11	Canned Pepsi																															
12	beef	sugar	Canned Pepsi																													
13	Canned Pepsi																															
14	Canned Pepsi																															
15	berries	whole milk																														
16	soda																															
17	Pepsi																															
18	bottled water																															
19	Pepsi																															
20	waffles																															
21	finished products	turkey	grapes	onions	other vegetables	whole milk	butter milk	yogurt	whipped/sour cream	hard cheese	frozen vegetables	fruit/vegetable juice	napkins																			
22	Frozen beef slices	hard cheese	pastry	fruit/vegetable juice																												
23	Canned Pepsi																															
24	whole milk																															
25	domestic eggs	rolls/buns	margarine																													
26	soda																															
27	Martadella	beef	tropical fruit	other vegetables	yogurt	frozen vegetables																										
28	Halawa																															
29	citrus fruit	whole milk	semi-finished bread																													
30	pastry	bottled water	specialty chocolate																													
31	meat	citrus fruit	other vegetables	curd	dessert	butter milk	beverages	cream cheese 	rolls/buns	brown bread	tea	bottled water																				
32	other vegetables	frozen fish	brown bread	red/blush wine																												
33	berries	Ginger powder																														
34	Halawa	citrus fruit	whole milk	yogurt	sliced cheese	specialty cheese	pastry	fruit/vegetable juice																								
35	chocolate																															
36	chicken	whole milk	soft cheese	coffee	salty snack	specialty chocolate																										
37	bottled water	soda																														
38	soda	long life bakery product	shopping bags																													
39	meat	tropical fruit	butter	yogurt	soft cheese	cat food	bottled water	specialty chocolate	dish cleaner	napkins	shopping bags																					
40	chicken	tropical fruit																														
41	Canned Pepsi																															
42	whole milk	pastry																														
43	Martadella	shopping bags																														
44	Halawa	chicken	beef	Frozen beef slicesburger meat	tropical fruit	other vegetables	butter	curd	butter milk	yogurt	whipped/sour cream	UHT-milk	frozen vegetables	pastry	flour	margarine	canned fish	coffee	fruit/vegetable juice	salty snack	specialty chocolate											
45	rolls/buns																															
46	napkins																															
47	frozen meals	specialty bar																														
48	beef	root vegetables	other vegetables	whipped/sour cream	rolls/buns	Pepsi																										
49	sausage	other vegetables	beverages	rolls/buns	red/blush wine	specialty chocolate	shopping bags																									
50	sausage	frozen vegetables	rolls/buns	soda	red/blush wine																											
51	rolls/buns	bottled water	specialty chocolate																													
52	sausage	berries	whipped/sour cream	shopping bags																												
53	pet care																															
54	other vegetables	whole milk	soda	shopping bags																												
55	newspapers																															
56	beef	frozen vegetables	rolls/buns	soda	chewing gum	photo/film																										
57	photo/film																															
58	nuts/prunes	whole milk	semi-finished bread	jam	soda	pot plants	shopping bags																									
59	brown bread																															
60	root vegetables																															
61	frozen fish																															
62	berries																															
63	sausage	berries	curd	yogurt	whipped/sour cream	cream cheese 	frozen vegetables	tea	fruit/vegetable juice	napkins	shopping bags																					
64	curd	Canned Pepsi	waffles	candy																												
65	yogurt	frozen vegetables																														
66	sausage	Frozen beef slices	pip fruit	whole milk	butter milk	yogurt	hard cheese	spread cheese	rolls/buns	pastry	margarine	salty snack	shopping bags																			
67	Frozen beef slices	Martadella	other vegetables	whole milk	frozen vegetables	rolls/buns	rum																									
68	other vegetables																															
69	Halawa	butter	brown bread																													
70	sausage	rolls/buns	coffee																													
71	Halawa	brown bread	sugar																													
72	chicken	Martadella	citrus fruit	berries	yogurt																											
73	pip fruit	butter milk	soda																													
74	sliced cheese	domestic eggs	coffee	shopping bags																												
