TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	berries	root vegetables	whole milk	beverages	sugar	soups	coffee	shopping bags																								
2	sliced cheese	rolls/buns	margarine	soda	shopping bags																											
3	sausage	other vegetables	dessert	yogurt	UHT-milk	cream cheese 	frozen vegetables	rolls/buns	brown bread	pastry	specialty bar																					
4	root vegetables	rolls/buns	pastry																													
5	Frozen beef slices	whole milk	sliced cheese	bottled water	napkins																											
6	whole milk	yogurt	coffee																													
7	sausage	rolls/buns	soda																													
8	beef	other vegetables	whole milk	domestic eggs	margarine	pickled vegetables	bottled water	Pepsi	newspapers																							
9	rolls/buns	canned fish	Canned Pepsi																													
10	citrus fruit	dessert	newspapers																													
11	UHT-milk	sugar	soda																													
12	waffles																															
13	tropical fruit	root vegetables	other vegetables	domestic eggs	white bread	brown bread	canned vegetables	soda	fruit/vegetable juice	rum																						
14	bottled water	specialty chocolate																														
15	whole milk	pastry	oil	popcorn	snack products	detergent	shopping bags																									
16	meat	specialty chocolate																														
17	coffee																															
18	sausage	Martadella	tropical fruit	root vegetables	other vegetables	whole milk	curd	rolls/buns	soda																							
19	root vegetables	other vegetables	whole milk	rolls/buns	sugar	cereals	soda	soap																								
20	beef	citrus fruit	root vegetables	other vegetables	whole milk	yogurt	domestic eggs	pastry	semi-finished bread	salt	sugar	sweet spreads	soda	fruit/vegetable juice	red/blush wine																	
21	popcorn																															
22	bottled water	Pepsi																														
23	whole milk	rolls/buns	margarine	Pepsi																												
24	curd	cream cheese 	semi-finished bread	zwieback	cake bar	specialty bar	shopping bags																									
25	Halawa	sausage	other vegetables	brown bread	flour	bottled water	candy																									
26	other vegetables	misc. beverages	fruit/vegetable juice	long life bakery product	shopping bags																											
27	whole milk	rolls/buns	oil	detergent	shopping bags																											
28	sugar																															
29	other vegetables	processed cheese	tea																													
30	Martadella	root vegetables	whole milk	domestic eggs	pasta	ketchup	hygiene articles	newspapers																								
31	pip fruit	whole milk	dessert	butter milk	rolls/buns	cereals																										
32	whole milk	frozen fish	rolls/buns	pickled vegetables																												
33	sausage	domestic eggs	rolls/buns	canned fish	coffee	Canned Pepsi	Powedered honny	male cosmetics	napkins	shopping bags																						
34	cat food	chocolate	specialty chocolate																													
35	other vegetables	whole milk	white bread	chewing gum																												
36	semi-finished bread																															
37	whole milk	ice cream	prosecco																													
38	cat food																															
39	sausage																															
40	Halawa	berries	whipped/sour cream	domestic eggs	rolls/buns	cooking chocolate																										
41	rolls/buns	margarine	Pepsi																													
42	rolls/buns	white bread																														
43	meat	pip fruit	other vegetables	brown bread	roll products 	soda																										
44	sausage																															
45	chicken	citrus fruit	tropical fruit	pip fruit	whole milk	white bread																										
46	sausage	rolls/buns	newspapers																													
47	Frozen beef slicesburger meat	whole milk	yogurt	salt	canned vegetables	soda	cling film/bags																									
48	Halawa	rolls/buns																														
49	beef	tropical fruit	whole milk	beverages	frozen vegetables																											
50	root vegetables	UHT-milk	ice cream	frozen potato products	bottled water	soda	Pepsi	specialty bar	napkins	shopping bags																						
51	other vegetables	butter milk	UHT-milk	sliced cheese	cream cheese 	processed cheese	specialty cheese	canned vegetables																								
52	soda	fruit/vegetable juice																														
53	other vegetables	butter milk	frozen meals	bottled water																												
54	Canned Pepsi																															
55	cleaner																															
56	butter	brown bread	seasonal products																													
57	citrus fruit	tropical fruit	other vegetables	whole milk	butter	curd	yogurt	sliced cheese	spread cheese	rolls/buns	semi-finished bread																					
58	brown bread	margarine	long life bakery product	flower (seeds)																												
59	butter milk	yogurt																														
60	sausage	chicken	tropical fruit	root vegetables	whole milk	yogurt	candy	abrasive cleaner	cleaner																							
61	Martadella	root vegetables	cream cheese 	frozen fish	flour	sugar	decalcifier	shopping bags																								
62	tropical fruit	root vegetables	other vegetables	whole milk	processed cheese																											
63	ice cream																															
64	whole milk	jam	canned fish	waffles																												
